Species,Shape,Height,Diameter1,Diameter2
Quercus robur,2,13,0.122,0.119
Pinus radiata,2,22.5,0.27,0.261
Quercus robur,2,13.5,0.132,0.13
Pinus radiata,2,21.5,0.273,0.254
Quercus robur,2,14,0.17,0.142
Pinus radiata,2,22,0.404,0.397
Quercus robur,2,13.5,0.137,0.158
Pinus radiata,2,22.5,0.245,0.242
Pinus radiata,2,18.5,0.215,0.218
Pinus radiata,2,23,0.313,0.324
Quercus robur,3,13.5,0.094,0.102
Pinus radiata,2,20.5,0.243,0.258
Quercus robur,3,8.5,0.076,0.078
Quercus robur,3,10,0.093,0.098
Quercus robur,2,14.5,0.156,0.155
Quercus robur,3,11.5,0.083,0.068
Quercus robur,2,13.5,0.145,0.133
Quercus robur,3,10,0.092,0.092
Quercus robur,2,13.5,0.127,0.132
Quercus robur,2,14,0.147,0.136
Quercus robur,2,17.5,0.171,0.159
Fraxinus angustifolia,2,16.5,0.151,0.14
Fraxinus angustifolia,2,17,0.138,0.137
Pinus radiata,1,40,0.629,0.647
Pinus radiata,1,43,0.566,0.592
Pinus radiata,1,43,0.7,0.7
Pinus radiata,1,37,0.499,0.515
Pinus radiata,1,39.5,0.578,0.596
Pinus radiata,1,32.5,0.525,0.561
Pinus radiata,2,20,0.521,0.513
Pinus radiata,1,35.5,0.44,0.423
Pinus radiata,1,31,0.459,0.438
Pinus radiata,1,40,0.567,0.514
Pinus radiata,1,36,0.617,0.63
Pinus radiata,1,31,0.528,0.537
Pinus radiata,1,42.5,0.578,0.583
Pinus radiata,1,34.5,0.409,0.444
Pinus radiata,1,34,0.591,0.595
Pinus radiata,1,35.5,0.494,0.489
Pinus radiata,1,35,0.541,0.552
Pinus radiata,1,34.5,0.555,0.551
Pinus radiata,1,37.5,0.638,0.627
Pinus radiata,1,35,0.506,0.498
Pinus radiata,1,34,0.499,0.511
Pinus radiata,1,37.5,0.545,0.522
Pinus radiata,1,40,0.684,0.684
Pinus radiata,2,37,0.583,0.591
Pinus radiata,2,36.5,0.503,0.529
Pinus radiata,1,37,0.592,0.518
Pinus radiata,1,28.5,0.428,0.464
Quercus robur,4,10,0.305,0.277
Quercus robur,2,12,0.216,0.257
Quercus robur,5,7,0.167,0.172
Quercus robur,4,8.5,0.216,0.215
Quercus robur,5,8,0.166,0.178
Quercus robur,2,12,0.225,0.212
Quercus robur,5,8.5,0.17,0.15
Pinus radiata,2,23,0.48,0.49
Pinus radiata,2,26.5,0.57,0.579
