Species,Shape,Height,Diameter1,Diameter2
Quercus ilex ,5,7,0.159,0.17
Quercus faginea,5,9.5,0.119,0.129
Quercus ilex ,2,14,0.242,0.251
Quercus ilex ,5,6,0.107,0.116
Quercus faginea,5,9,0.147,0.166
Quercus faginea,5,7,0.128,0.129
Quercus faginea,5,11.5,0.164,0.159
Quercus faginea,5,8,0.132,0.128
Pinus sylvestris,2,18,0.296,0.334
Quercus ilex ,5,7.5,0.137,0.135
Quercus ilex ,5,5,0.177,0.186
Quercus faginea,5,6,0.16,0.139
Quercus ilex ,5,3,0.104,0.105
Quercus faginea,5,7.5,0.156,0.153
Quercus ilex ,5,2.5,0.096,0.115
Quercus faginea,5,6.5,0.233,0.198
Quercus faginea,5,6.5,0.16,0.143
Quercus ilex ,5,3.5,0.118,0.153
Quercus ilex ,5,3,0.136,0.176
Pinus sylvestris,2,11.5,0.166,0.154
Pinus sylvestris,2,16.5,0.236,0.23
Pinus sylvestris,2,18,0.216,0.224
Pinus sylvestris,2,15,0.256,0.29
Pinus sylvestris,2,19,0.258,0.224
Pinus sylvestris,2,17,0.162,0.156
Quercus faginea,5,6.5,0.128,0.134
Pinus sylvestris,2,14.5,0.235,0.24
Quercus faginea,2,6.5,0.142,0.148
Pinus sylvestris,2,15,0.315,0.296
Pinus sylvestris,2,14.5,0.264,0.244
Pinus sylvestris,2,16,0.248,0.233
Pinus sylvestris,2,17,0.308,0.304
Pinus sylvestris,2,15.5,0.312,0.314
Quercus faginea,5,11.5,0.158,0.177
Quercus faginea,5,12.5,0.188,0.193
Quercus faginea,5,4.5,0.16,0.158
Quercus faginea,2,13.5,0.173,0.189
Quercus faginea,5,6,0.176,0.168
Pinus sylvestris,2,17,0.339,0.334
Pinus sylvestris,2,12.5,0.118,0.133
Quercus faginea,5,7,0.129,0.125
Pinus sylvestris,2,15,0.2,0.209
Pinus sylvestris,2,17.5,0.266,0.247
Pinus sylvestris,2,10,0.137,0.142
Pinus sylvestris,5,9,0.163,0.142
Pinus sylvestris,2,14.5,0.223,0.244
Pinus sylvestris,2,15.5,0.176,0.164
Pinus sylvestris,2,17,0.246,0.252
Pinus sylvestris,2,17,0.17,0.174
Pinus sylvestris,2,12,0.152,0.157
Pinus sylvestris,2,14,0.243,0.248
Pinus sylvestris,2,18,0.303,0.297
Pinus sylvestris,2,15.5,0.161,0.166
Pinus sylvestris,2,13,0.14,0.142
Pinus sylvestris,2,16,0.321,0.317
Pinus sylvestris,2,13,0.171,0.168
Pinus radiata,2,21,0.328,0.32
Pinus radiata,2,25,0.252,0.245
Pinus radiata,2,22.5,0.32,0.306
Pinus radiata,2,22,0.258,0.255
Pinus radiata,2,25.5,0.313,0.316
Pinus radiata,2,23,0.26,0.26
Pinus radiata,2,23,0.253,0.243
Pinus radiata,2,19,0.246,0.257
Pinus radiata,2,23.5,0.341,0.352
Pinus radiata,2,19.5,0.266,0.275
Pinus radiata,2,24,0.317,0.32
Pinus radiata,2,21,0.239,0.256
Pinus radiata,2,21.5,0.262,0.268
Pinus radiata,2,25.5,0.29,0.298
Pinus radiata,2,16,0.241,0.256
Pinus radiata,2,15,0.269,0.27
Pinus radiata,2,25.5,0.278,0.27
Pinus radiata,2,20,0.227,0.23
Pinus radiata,2,22.5,0.248,0.246
Pinus radiata,2,25.5,0.326,0.337
Pinus radiata,2,17,0.301,0.297
Pinus radiata,2,17.5,0.246,0.244
Pinus radiata,2,12,0.299,0.316
Pinus radiata,2,19,0.233,0.236
Pinus radiata,2,22,0.225,0.233
Pinus radiata,2,24,0.327,0.329
Pinus radiata,2,24,0.286,0.313
Pinus radiata,2,22,0.316,0.347
Pinus radiata,2,24,0.295,0.297
Pinus radiata,2,23,0.245,0.244
Pinus radiata,2,21.5,0.228,0.237
Pinus radiata,2,16,0.18,0.179
Pinus radiata,2,23,0.324,0.316
Pinus radiata,2,23,0.261,0.26
Pinus radiata,2,20,0.216,0.213
Pinus radiata,2,22.5,0.266,0.264
Pinus radiata,2,25.5,0.326,0.354
Pinus radiata,2,23.5,0.25,0.254
Pinus radiata,2,30.5,0.408,0.415
Pinus radiata,2,28.5,0.49,0.449
Pinus radiata,2,30,0.464,0.438
Pinus radiata,2,32,0.464,0.451
Pinus radiata,2,30,0.478,0.475
Pinus radiata,2,34,0.473,0.454
Pinus radiata,2,30,0.428,0.428
Pinus radiata,2,35.5,0.5,0.452
Pinus radiata,2,37,0.521,0.523
Pinus radiata,1,33,0.471,0.464
Pinus radiata,2,33,0.483,0.467
Pinus radiata,2,29.5,0.429,0.461
Pinus radiata,2,33,0.526,0.475
Pinus radiata,2,29,0.416,0.41
Pinus radiata,2,30,0.458,0.47
Pinus radiata,2,31,0.488,0.465
Pinus radiata,2,31.5,0.498,0.476
Pinus radiata,2,31,0.41,0.404
Pinus radiata,2,29,0.446,0.425
Pinus radiata,2,32,0.586,0.528
Pinus radiata,2,35.5,0.568,0.552
Pinus radiata,2,32,0.532,0.498
Pinus radiata,2,26,0.492,0.481
Pinus radiata,2,30,0.524,0.526
Pinus radiata,2,29,0.456,0.463
Pinus radiata,2,31,0.451,0.442
Pinus radiata,2,33,0.53,0.517
Pinus radiata,2,34,0.522,0.53
Pinus radiata,2,30,0.451,0.447
Pinus radiata,2,32,0.442,0.441
Pinus radiata,2,19.5,0.27,0.252
Pinus radiata,2,31.5,0.435,0.412
Pinus radiata,2,11.5,0.24,0.227
Pinus radiata,2,15,0.234,0.237
Pinus radiata,2,19.5,0.298,0.299
Pinus radiata,2,20.5,0.375,0.352
Pinus radiata,2,32,0.58,0.545
Pinus radiata,2,35,0.507,0.484
Pinus radiata,2,20.5,0.338,0.349
Pinus radiata,2,39.5,0.504,0.526
Pinus radiata,2,34.5,0.487,0.49
Pinus radiata,2,28,0.376,0.371
Pinus radiata,2,25,0.386,0.345
Pinus radiata,2,35.5,0.448,0.432
Pinus radiata,2,22.5,0.3,0.285
Pinus radiata,2,39,0.562,0.515
Pinus radiata,2,35,0.481,0.476
Pinus radiata,2,28.5,0.428,0.402
Pinus radiata,2,20,0.301,0.298
Pinus radiata,2,35.5,0.447,0.466
Pinus radiata,2,20.5,0.275,0.278
Pinus radiata,2,34,0.44,0.438
Pinus radiata,2,16.5,0.269,0.264
Pinus radiata,2,30,0.463,0.48
Pinus radiata,1,40.5,0.602,0.585
Pinus radiata,2,35,0.423,0.475
Pinus radiata,2,39,0.487,0.488
Pinus radiata,2,42,0.48,0.513
Pinus radiata,2,26,0.392,0.407
Pinus radiata,2,17,0.24,0.245
Pinus radiata,2,15,0.192,0.194
Pinus radiata,2,33.5,0.432,0.49
Pinus radiata,2,41,0.536,0.555
Pinus radiata,2,36,0.55,0.506
Pinus radiata,2,29.5,0.492,0.457
Pinus radiata,2,30,0.637,0.618
Pinus radiata,2,25.5,0.462,0.45
Pinus radiata,2,29,0.468,0.413
Pinus radiata,2,28.5,0.486,0.46
Pinus radiata,2,22,0.499,0.454
Pinus radiata,2,31,0.638,0.554
Pinus radiata,2,27.5,0.552,0.542
Pinus radiata,2,33,0.547,0.542
Pinus radiata,2,35,0.613,0.65
Pinus radiata,2,26,0.422,0.453
Pinus radiata,2,33.5,0.486,0.471
Alnus glutinosa,2,10,0.132,0.136
Pinus radiata,2,30,0.479,0.487
Pinus radiata,2,33,0.482,0.47
Pinus radiata,2,12,0.425,0.454
Pinus radiata,2,31,0.597,0.538
Pinus radiata,2,35,0.7,0.7
Pinus radiata,2,32,0.49,0.486
Pinus radiata,2,29,0.617,0.526
Pinus radiata,2,30.5,0.532,0.551
Pinus radiata,2,35.5,0.481,0.475
Pinus radiata,2,28,0.521,0.557
Pinus radiata,2,29,0.466,0.456
Pinus radiata,2,33.5,0.515,0.526
Pinus radiata,2,30,0.437,0.434
Pinus radiata,2,16.5,0.3,0.311
Pinus radiata,2,22,0.303,0.316
Pinus radiata,2,17.5,0.318,0.311
Pinus radiata,2,19,0.363,0.352
Pinus radiata,2,18,0.346,0.366
Pinus radiata,2,13,0.438,0.415
Pinus radiata,2,20.5,0.508,0.505
Pinus radiata,2,22,0.586,0.624
Pinus radiata,2,27.5,0.458,0.489
Pinus radiata,2,31.5,0.593,0.578
Pinus radiata,2,17.5,0.454,0.432
Pinus radiata,2,26.5,0.496,0.458
Pinus radiata,2,19.5,0.341,0.343
Pinus radiata,2,27,0.522,0.515
Pinus radiata,2,23.5,0.584,0.542
Pinus radiata,2,22,0.416,0.441
Pinus radiata,2,29,0.532,0.556
Pinus radiata,2,25,0.421,0.433
Pinus radiata,2,18.5,0.39,0.402
Pinus radiata,2,24.5,0.494,0.475
Pinus radiata,2,9.5,0.309,0.303
Pinus radiata,2,19,0.448,0.435
Pinus radiata,2,25.5,0.442,0.434
Quercus faginea,5,8.5,0.162,0.157
Quercus faginea,5,12,0.224,0.245
Quercus faginea,5,8.5,0.172,0.17
Quercus faginea,5,6,0.081,0.09
Quercus faginea,5,10,0.18,0.167
Quercus faginea,5,9.5,0.156,0.135
Quercus faginea,5,10.5,0.198,0.212
Pinus sylvestris,2,5.5,0.138,0.132
Quercus faginea,5,9,0.125,0.131
Quercus faginea,2,12,0.216,0.197
Quercus faginea,2,7,0.171,0.187
Quercus faginea,5,7,0.11,0.113
Quercus faginea,2,11.5,0.223,0.21
Quercus faginea,5,8,0.167,0.168
Quercus faginea,5,6.5,0.142,0.143
Quercus faginea,5,8,0.126,0.129
Quercus faginea,5,6.5,0.132,0.135
Quercus faginea,5,5.5,0.126,0.131
Quercus faginea,5,5,0.12,0.133
Quercus faginea,4,4,0.094,0.112
Quercus faginea,5,4,0.124,0.159
Pinus sylvestris,2,12,0.288,0.292
Quercus faginea,5,5,0.13,0.12
Quercus faginea,5,4.5,0.146,0.171
Pinus sylvestris,2,12,0.358,0.367
Quercus faginea,5,4.5,0.083,0.084
Pinus sylvestris,3,4.5,0.141,0.135
Quercus faginea,5,11.5,0.27,0.246
Pinus sylvestris,3,4,0.125,0.118
Pinus sylvestris,2,15,0.313,0.33
Quercus faginea,5,5.5,0.161,0.164
Quercus faginea,2,8,0.201,0.179
Quercus faginea,5,9,0.168,0.174
Quercus faginea,5,8,0.195,0.185
Quercus faginea,5,9.5,0.171,0.172
Quercus faginea,5,7,0.149,0.137
Quercus faginea,5,10,0.118,0.135
Quercus faginea,5,10.5,0.22,0.227
Quercus faginea,5,13.5,0.287,0.288
Quercus ilex ,5,10,0.134,0.142
Quercus faginea,2,6,0.177,0.179
Populus nigra,2,11.5,0.12,0.122
Quercus ilex ,5,7.5,0.185,0.233
Acer campestre,5,10.5,0.132,0.146
Acer campestre,5,8,0.148,0.134
Quercus faginea,5,11.5,0.178,0.19
Quercus faginea,5,10,0.156,0.19
Quercus faginea,5,7,0.173,0.174
Fraxinus angustifolia,5,12,0.231,0.242
Fraxinus angustifolia,2,10,0.142,0.147
Prunus spp.,2,8,0.113,0.112
Pinus radiata,2,17,0.252,0.248
Pinus sylvestris,2,17.5,0.335,0.351
Pinus radiata,2,24,0.371,0.366
Pinus radiata,2,17,0.344,0.323
Pinus radiata,2,19.5,0.358,0.354
Pinus radiata,2,25.5,0.387,0.374
Pinus radiata,2,22,0.35,0.324
Pinus radiata,2,20.5,0.387,0.391
Pinus radiata,2,21.5,0.333,0.34
Pinus radiata,2,24,0.506,0.497
Pinus radiata,2,18,0.283,0.284
Pinus radiata,2,16.5,0.269,0.235
Pinus sylvestris,2,12.5,0.252,0.266
Pinus sylvestris,2,13.5,0.254,0.265
Pinus sylvestris,2,14,0.28,0.267
Pinus sylvestris,2,13,0.276,0.275
Pinus sylvestris,2,11.5,0.172,0.17
Pinus sylvestris,2,18,0.218,0.237
Pinus sylvestris,2,17.5,0.271,0.265
Pinus sylvestris,2,17,0.201,0.19
Pinus sylvestris,2,16,0.339,0.343
Pinus sylvestris,2,15,0.33,0.313
Pinus sylvestris,2,17,0.246,0.247
Pinus sylvestris,2,19,0.357,0.364
Pinus sylvestris,2,17.5,0.397,0.375
Pinus radiata,3,6,0.087,0.089
Pinus radiata,3,6,0.082,0.081
Pinus radiata,3,5.5,0.084,0.083
Pinus radiata,3,5,0.088,0.081
Pinus radiata,3,5,0.094,0.099
Pinus radiata,3,5.5,0.094,0.1
Pinus sylvestris,2,10.5,0.188,0.216
Pinus sylvestris,3,6.5,0.132,0.14
Salix spp.,5,5,0.098,0.087
Salix spp.,5,5.5,0.114,0.113
Quercus faginea,2,10,0.24,0.238
Pinus sylvestris,2,11.5,0.383,0.394
Pinus sylvestris,2,15,0.386,0.398
Pinus sylvestris,2,11.5,0.374,0.368
Pinus sylvestris,2,10,0.322,0.318
Pinus sylvestris,2,14,0.496,0.502
Pinus sylvestris,2,13,0.493,0.391
Quercus robur,2,12.5,0.308,0.333
Pinus sylvestris,2,16,0.65,0.642
Quercus robur,2,14,0.258,0.269
Pinus sylvestris,2,14,0.386,0.388
Pinus sylvestris,2,10.5,0.232,0.235
Quercus pyrenaica,5,11,0.178,0.176
Quercus pyrenaica,5,10,0.26,0.233
Quercus pyrenaica,5,7.5,0.164,0.167
Pinus sylvestris,2,7,0.27,0.272
Pinus sylvestris,2,14.5,0.473,0.462
Pinus radiata,2,19.5,0.533,0.434
Pinus radiata,2,29,0.49,0.457
Pinus radiata,2,31.5,0.573,0.496
Pinus radiata,2,27,0.606,0.502
Pinus radiata,2,23,0.586,0.581
Pinus radiata,2,34,0.537,0.488
Pinus radiata,2,22.5,0.584,0.562
Pinus radiata,2,30,0.417,0.429
Pinus radiata,2,30.5,0.496,0.55
Pinus radiata,2,28,0.493,0.559
Pinus radiata,2,41,0.684,0.684
Pinus radiata,2,30,0.546,0.527
Pinus radiata,2,30,0.484,0.527
Salix spp.,5,13.5,0.276,0.358
Pinus radiata,2,29,0.748,0.748
Salix spp.,5,9.5,0.216,0.247
Pinus radiata,2,39,0.732,0.732
Pinus radiata,2,37.5,0.7,0.726
Pinus radiata,1,41,0.799,0.799
Pinus radiata,2,30,0.534,0.541
Pinus radiata,2,38.5,0.631,0.633
Pinus radiata,2,35,0.657,0.612
Pinus radiata,2,31,0.494,0.509
Pinus radiata,2,28,0.684,0.684
Pinus radiata,2,28,0.547,0.479
Pinus radiata,2,17,0.451,0.393
Pinus radiata,2,20,0.342,0.366
Quercus robur,5,4,0.202,0.197
Pinus radiata,2,30.5,0.594,0.598
Pinus radiata,2,30,0.42,0.435
Pinus radiata,2,20,0.412,0.408
Pinus radiata,2,31,0.482,0.48
Pinus radiata,2,32,0.431,0.445
Pinus radiata,2,31.5,0.52,0.497
Pinus radiata,2,32.5,0.42,0.428
Pinus radiata,2,29,0.494,0.505
Pinus radiata,2,30.5,0.331,0.34
Pinus radiata,2,27,0.394,0.387
Quercus pyrenaica,2,11,0.192,0.221
Quercus pyrenaica,5,7.5,0.145,0.158
Quercus pyrenaica,2,11,0.17,0.172
Quercus pyrenaica,5,5,0.149,0.161
Quercus pyrenaica,2,17.5,0.183,0.164
Fagus sylvatica,2,17,0.225,0.239
Quercus pyrenaica,5,10,0.176,0.18
Quercus pyrenaica,2,17,0.193,0.195
Quercus pyrenaica,5,6,0.238,0.224
Quercus pyrenaica,5,6.5,0.174,0.254
Quercus faginea,5,8,0.158,0.17
Pinus sylvestris,2,7,0.124,0.128
Pinus sylvestris,2,7.5,0.198,0.196
Pinus sylvestris,2,13.5,0.246,0.253
Quercus faginea,5,5.5,0.18,0.188
Quercus faginea,5,9,0.157,0.158
Pinus sylvestris,2,11.5,0.254,0.255
Quercus faginea,5,7.5,0.286,0.243
Quercus faginea,5,7.5,0.181,0.152
Pinus sylvestris,2,10.5,0.231,0.216
Quercus faginea,5,9,0.15,0.172
Quercus faginea,2,10,0.206,0.218
Quercus faginea,2,13.5,0.288,0.279
Quercus faginea,5,5.5,0.118,0.133
Quercus faginea,5,12,0.232,0.258
Quercus faginea,4,9.5,0.173,0.198
Quercus faginea,5,9,0.23,0.232
Quercus faginea,5,13,0.238,0.281
Quercus faginea,5,10,0.178,0.16
Quercus faginea,5,9,0.177,0.176
Quercus faginea,4,10,0.207,0.23
Pinus sylvestris,2,11.5,0.336,0.334
Pinus sylvestris,2,14,0.461,0.428
Pinus sylvestris,2,7.5,0.202,0.194
Pinus sylvestris,2,15,0.236,0.25
Pinus sylvestris,3,4.5,0.115,0.094
Quercus faginea,4,9,0.288,0.291
Quercus faginea,5,8,0.156,0.15
Quercus faginea,5,8.5,0.106,0.125
Quercus faginea,5,10.5,0.198,0.222
Quercus faginea,5,8.5,0.165,0.153
Pinus sylvestris,2,9.5,0.284,0.28
Quercus faginea,5,8,0.144,0.161
Quercus faginea,5,8,0.107,0.097
Quercus faginea,5,10.5,0.151,0.153
Quercus faginea,5,11.5,0.026,0.144
Quercus faginea,5,7,0.086,0.083
Quercus faginea,5,9,0.118,0.132
Pinus sylvestris,3,5,0.12,0.128
Quercus faginea,5,11,0.129,0.126
Pinus sylvestris,2,12,0.257,0.29
Quercus faginea,5,6.5,0.148,0.123
Quercus faginea,5,7.5,0.128,0.129
Quercus faginea,5,11.5,0.174,0.173
Quercus faginea,5,6,0.106,0.097
Quercus faginea,5,5,0.094,0.079
Quercus faginea,5,8.5,0.128,0.125
Quercus faginea,5,8,0.156,0.141
Quercus faginea,5,10.5,0.207,0.168
Pinus sylvestris,2,12.5,0.346,0.315
Quercus faginea,5,6,0.113,0.096
Quercus faginea,2,12,0.201,0.182
Quercus faginea,2,11.5,0.211,0.168
Quercus faginea,5,6.5,0.091,0.093
Quercus faginea,5,11.5,0.179,0.158
Quercus faginea,5,8,0.141,0.138
Quercus faginea,5,11.5,0.164,0.172
Quercus faginea,5,6,0.103,0.101
Quercus faginea,2,13,0.169,0.187
Pinus sylvestris,2,14,0.38,0.376
Quercus faginea,5,5,0.08,0.088
Quercus faginea,5,4.5,0.086,0.087
Quercus faginea,2,12.5,0.167,0.176
Quercus faginea,5,8,0.144,0.158
Quercus faginea,2,12,0.235,0.236
Quercus faginea,5,5.5,0.114,0.108
Pinus sylvestris,2,8,0.223,0.245
Quercus faginea,5,6,0.109,0.122
Quercus faginea,5,5.5,0.134,0.124
Quercus faginea,5,4.5,0.102,0.102
Quercus faginea,2,12,0.185,0.184
Quercus faginea,5,9.5,0.12,0.15
Quercus faginea,2,10,0.181,0.16
Quercus faginea,5,10,0.168,0.183
Pinus sylvestris,2,22.5,0.303,0.316
Pinus sylvestris,2,25,0.311,0.33
Pinus sylvestris,2,18.5,0.334,0.355
Pinus sylvestris,2,24.5,0.426,0.417
Quercus faginea,2,12.5,0.192,0.184
Pinus sylvestris,2,15,0.301,0.298
Quercus faginea,5,7.5,0.088,0.096
Pinus sylvestris,2,25,0.496,0.471
Quercus faginea,5,12,0.156,0.151
Pinus sylvestris,2,21.5,0.464,0.433
Quercus faginea,4,21,0.486,0.492
Quercus faginea,2,13.5,0.435,0.447
Acer campestre,2,10.5,0.226,0.194
Quercus faginea,5,6,0.152,0.159
Quercus faginea,5,9.5,0.305,0.33
Pinus sylvestris,2,18.5,0.337,0.359
Quercus faginea,5,7,0.125,0.13
Quercus faginea,4,17,0.4,0.467
Quercus faginea,4,22,0.372,0.467
Quercus faginea,5,9.5,0.213,0.242
Quercus faginea,2,14.5,0.158,0.194
Pinus sylvestris,2,22,0.312,0.3
Quercus faginea,5,11.5,0.134,0.12
Quercus faginea,5,8,0.134,0.131
Pinus sylvestris,2,21,0.39,0.356
Quercus faginea,5,9.5,0.186,0.154
Pinus sylvestris,5,15,0.286,0.25
Pinus sylvestris,2,17.5,0.338,0.324
Pinus sylvestris,2,16,0.292,0.29
Pinus sylvestris,2,23,0.354,0.3
Pinus sylvestris,2,19,0.382,0.361
Pinus sylvestris,2,14.5,0.356,0.361
Quercus faginea,5,11.5,0.156,0.166
Quercus faginea,5,10,0.157,0.176
Quercus faginea,5,12.5,0.182,0.174
Quercus faginea,5,7.5,0.148,0.134
Quercus faginea,5,7.5,0.152,0.138
Quercus faginea,5,7.5,0.164,0.153
Pinus sylvestris,2,6.5,0.22,0.194
Quercus faginea,2,7.5,0.163,0.182
Quercus faginea,5,8,0.131,0.123
Quercus faginea,5,6.5,0.076,0.079
Quercus faginea,5,7.5,0.131,0.137
Quercus faginea,5,7.5,0.124,0.128
Quercus faginea,5,7,0.138,0.125
Quercus faginea,4,11,0.467,0.394
Quercus faginea,5,5,0.106,0.114
Quercus faginea,5,6,0.082,0.081
Quercus faginea,4,9.5,0.438,0.414
Quercus faginea,2,8,0.158,0.161
Quercus faginea,3,7,0.092,0.098
Quercus faginea,5,7.5,0.146,0.144
Quercus faginea,5,6,0.143,0.156
Quercus faginea,5,5.5,0.081,0.08
Quercus faginea,4,9.5,0.206,0.212
Quercus faginea,5,9.5,0.13,0.136
Quercus faginea,2,9,0.13,0.153
Quercus faginea,2,5.5,0.141,0.143
Crataegus spp.,5,4,0.15,0.148
Quercus faginea,5,5,0.076,0.082
Quercus faginea,2,7,0.132,0.13
Pinus sylvestris,5,14,0.405,0.413
Quercus faginea,5,6.5,0.124,0.133
Pinus sylvestris,2,10.5,0.22,0.215
Pinus sylvestris,2,13.5,0.363,0.36
Pinus sylvestris,2,13,0.282,0.257
Pinus sylvestris,2,16.5,0.356,0.348
Quercus faginea,4,15,0.473,0.465
Pinus radiata,2,15,0.224,0.233
Pinus radiata,2,19.5,0.304,0.31
Pinus radiata,2,17.5,0.453,0.417
Pinus radiata,2,19,0.328,0.324
Pinus sylvestris,2,13.5,0.374,0.361
Pinus radiata,2,13,0.225,0.23
Pinus radiata,3,7,0.075,0.076
Pinus sylvestris,2,9.5,0.15,0.148
Pinus sylvestris,2,11.5,0.277,0.266
Pinus radiata,2,19.5,0.284,0.286
Pinus sylvestris,2,14.5,0.214,0.22
Quercus faginea,5,4.5,0.074,0.078
Fagus sylvatica,2,7.5,0.106,0.101
Pinus sylvestris,2,10,0.129,0.127
Pinus sylvestris,2,13.5,0.272,0.275
Pinus sylvestris,2,15,0.254,0.27
Pinus sylvestris,2,10,0.151,0.142
Pinus radiata,2,23.5,0.431,0.427
Pinus sylvestris,2,14,0.191,0.199
Pinus radiata,2,22.5,0.496,0.498
Pinus sylvestris,2,11,0.234,0.191
Pinus sylvestris,2,13.5,0.321,0.314
Pinus sylvestris,2,11.5,0.254,0.258
Pinus sylvestris,2,12,0.188,0.181
Pinus sylvestris,3,5.5,0.11,0.103
Pinus sylvestris,2,9.5,0.175,0.168
Pinus sylvestris,2,12,0.252,0.274
Quercus faginea,4,11.5,0.265,0.296
Pinus sylvestris,2,13,0.262,0.272
Quercus faginea,5,6,0.114,0.106
Pinus sylvestris,2,16,0.318,0.3
Pinus sylvestris,2,9.5,0.206,0.195
Pinus radiata,2,26,0.377,0.392
Pinus radiata,2,25,0.456,0.428
Pinus radiata,2,25.5,0.424,0.423
Pinus radiata,2,27,0.374,0.354
Pinus radiata,2,24.5,0.323,0.324
Pinus radiata,2,28,0.335,0.324
Pinus radiata,2,28.5,0.398,0.357
Pinus radiata,2,28,0.363,0.379
Pinus radiata,2,25,0.357,0.36
Pinus radiata,2,27.5,0.414,0.418
Pinus radiata,2,28,0.421,0.442
Pinus radiata,2,27,0.375,0.388
Pinus radiata,2,24,0.458,0.46
Pinus radiata,2,20,0.262,0.259
Pinus radiata,2,21.5,0.401,0.394
Pinus radiata,2,25,0.453,0.455
Pinus radiata,2,28,0.438,0.423
Pinus radiata,2,19.5,0.281,0.306
Pinus radiata,2,25.5,0.435,0.437
Pinus radiata,2,22.5,0.339,0.338
Pinus radiata,5,25.5,0.4,0.384
Pinus radiata,2,19,0.433,0.419
Pinus radiata,2,27,0.346,0.361
Pinus radiata,2,24,0.339,0.344
Pinus radiata,2,27,0.389,0.317
Pinus radiata,2,26,0.346,0.364
Pinus radiata,2,26.5,0.399,0.415
Pinus radiata,2,26,0.352,0.363
Pinus radiata,1,35,0.732,0.732
Pinus radiata,2,26.5,0.549,0.532
Pinus radiata,2,29,0.535,0.5
Pinus radiata,1,33,0.468,0.462
Pinus radiata,2,28,0.431,0.442
Pinus radiata,2,24,0.382,0.42
Pinus radiata,2,31,0.448,0.433
Pinus radiata,2,29,0.453,0.443
Pinus radiata,2,29,0.568,0.573
Pinus radiata,2,36,0.533,0.533
Pinus radiata,2,29,0.509,0.503
Pinus radiata,2,30,0.467,0.448
Pinus radiata,2,33,0.503,0.443
Pinus radiata,2,34,0.484,0.469
Pinus radiata,2,33.5,0.493,0.501
Pinus radiata,2,34,0.454,0.456
Pinus radiata,2,29,0.477,0.457
Pinus radiata,2,33,0.56,0.555
Pinus radiata,2,33.5,0.572,0.578
Pinus radiata,2,33,0.476,0.479
Pinus radiata,2,24.5,0.413,0.394
Pinus radiata,2,28,0.438,0.458
Pinus radiata,2,29,0.534,0.532
Pinus radiata,2,27,0.513,0.465
Pinus radiata,2,26,0.382,0.362
Pinus radiata,2,25.5,0.46,0.426
Pinus radiata,2,24,0.567,0.575
Pinus radiata,2,26.5,0.46,0.495
Pinus radiata,2,26,0.438,0.447
Pinus radiata,2,25,0.507,0.472
Pinus radiata,2,25.5,0.452,0.475
Pinus radiata,2,25,0.501,0.521
Pinus radiata,2,22,0.361,0.395
Pinus radiata,2,24,0.486,0.479
Pinus radiata,2,26.5,0.457,0.439
Pinus radiata,2,23.5,0.446,0.417
Pinus radiata,2,22.5,0.459,0.445
Pinus radiata,2,24,0.442,0.453
Pinus radiata,2,26,0.505,0.478
Pinus radiata,2,22,0.36,0.37
Pinus radiata,2,30,0.574,0.6
Pinus radiata,2,34,0.518,0.528
Pinus radiata,2,27,0.487,0.534
Pinus radiata,2,35,0.566,0.596
Pinus radiata,2,27,0.462,0.465
Pinus radiata,2,35,0.623,0.641
Pinus radiata,2,30,0.593,0.562
Pinus radiata,2,27,0.406,0.404
Pinus radiata,1,34.5,0.578,0.598
Pinus radiata,2,32,0.49,0.488
Pinus radiata,2,33,0.463,0.473
Pinus radiata,2,32,0.513,0.503
Pinus radiata,2,33,0.504,0.506
Pinus radiata,2,25.5,0.342,0.331
Pinus radiata,2,20.5,0.33,0.334
Pinus radiata,2,17,0.304,0.304
Pinus radiata,2,22,0.388,0.391
Pinus radiata,2,19,0.314,0.317
Pinus radiata,2,18.5,0.346,0.349
Pinus radiata,2,23,0.393,0.402
Pinus radiata,2,19.5,0.367,0.339
Pinus radiata,2,16,0.311,0.317
Pinus radiata,2,16.5,0.278,0.267
Pinus radiata,2,19,0.327,0.336
Pinus radiata,1,27,0.424,0.427
Pinus radiata,2,17,0.287,0.264
Pinus radiata,2,22,0.297,0.29
Pinus radiata,2,16.5,0.28,0.261
Pinus radiata,2,21.5,0.366,0.366
Pinus radiata,2,22,0.352,0.363
Pinus radiata,2,24.5,0.36,0.391
Pinus radiata,2,17.5,0.228,0.227
Pinus radiata,2,21.5,0.31,0.328
Pinus radiata,2,27,0.452,0.448
Pinus radiata,2,20,0.306,0.307
Pinus radiata,2,17,0.272,0.26
Pinus radiata,2,17.5,0.267,0.286
Pinus radiata,2,18.5,0.236,0.24
Pinus radiata,3,8,0.078,0.076
Pinus radiata,2,19.5,0.306,0.288
Pinus radiata,2,19,0.292,0.282
Pinus radiata,2,18.5,0.299,0.274
Pinus radiata,2,19.5,0.374,0.365
Pinus radiata,2,30.5,0.468,0.49
Pinus radiata,2,29,0.566,0.599
Pinus radiata,2,27,0.491,0.483
Pinus radiata,2,30,0.603,0.574
Pinus radiata,2,32,0.548,0.587
Pinus radiata,2,20.5,0.521,0.45
Pinus radiata,2,26.5,0.514,0.547
Pinus radiata,2,25.5,0.451,0.412
Pinus radiata,2,27.5,0.548,0.532
Pinus radiata,2,28,0.5,0.493
Pinus radiata,2,36.5,0.583,0.56
Pinus radiata,2,30,0.468,0.488
Pinus radiata,2,32.5,0.504,0.522
Pinus radiata,2,28,0.604,0.598
