Latitude,Longitude,year,counts,presence,Seedlings,Saplings,Adults,Flowering,Fruiting,Rainfall (mm),Beaufort scale,Temperature (C),altitude
-19.852182,57.78614,2001,1,1,0,0,0,0,0,,,,174.7124481
-19.85045,57.78588,2001,1,1,0,0,0,0,0,,,,179.9412994
-19.85165,57.78905,2001,0,0,0,0,0,0,0,,,,244.455246
-19.85262,57.78302,2001,0,0,0,0,0,0,0,,,,85.32167053
-19.84861,57.78413,2001,0,0,0,0,0,0,0,,,,84.89953613
-19.8501,57.7848,2001,0,0,0,0,0,0,0,,,,124.7678604
-19.85128,57.7877,2001,0,0,0,0,0,0,0,,,,234.9427948
-19.85009,57.784,2001,0,0,0,0,0,0,0,,,,92.51179504
-19.84987,57.78375,2001,0,0,0,0,0,0,0,,,,80.35266113
-19.84818,57.78453,2001,0,0,0,0,0,0,0,,,,97.5927887
-19.84755,57.78391,2001,0,0,0,0,0,0,0,,,,68.49195862
-19.84873,57.78379,2001,0,0,0,0,0,0,0,,,,71.95623779
-19.84795,57.78427,2001,0,0,0,0,0,0,0,,,,84.6687088
-19.84809,57.78421,2001,0,0,0,0,0,0,0,,,,83.94309235
-19.84878,57.78781,2001,0,0,0,0,0,0,0,,,,268.8005371
-19.84873,57.78766,2001,0,0,0,0,0,0,0,,,,258.9579468
-19.84872,57.78497,2001,0,0,0,0,0,0,0,,,,120.4881516
-19.84705,57.78872,2001,0,0,0,0,0,0,0,,,,280.0327454
-19.84986,57.78597,2001,0,0,0,0,0,0,0,,,,179.2762604
-19.846904,57.786098,2001,0,0,0,0,0,0,0,,,,151.44104
-19.848301,57.787369,2001,0,0,0,0,0,0,0,,,,239.6864014
-19.852076,57.786859,2001,0,0,0,0,0,0,0,,,,187.9891205
-19.849011,57.787701,2001,0,0,0,0,0,0,0,,,,264.2425842
-19.84871,57.785627,2001,0,0,0,0,0,0,0,,,,153.817337
-19.846069,57.786557,2001,0,0,0,0,0,0,0,,,,153.9109802
-19.845977,57.785715,2001,0,0,0,0,0,0,0,,,,114.1737671
-19.846346,57.785083,2001,0,0,0,0,0,0,0,,,,93.81143188
-19.845775,57.787783,2001,0,0,0,0,0,0,0,,,,199.9160461
-19.848324,57.788409,2001,0,0,0,0,0,0,0,,,,288.3887939
-19.8536,57.786832,2001,0,0,0,0,0,0,0,,,,135.0680237
-19.845925,57.78987,2001,0,0,0,0,0,0,0,,,,269.8494263
-19.8476,57.7876,2001,0,0,0,0,0,0,0,,,,241.0913696
-19.847875,57.787652,2001,0,0,0,0,0,0,0,,,,247.848465
-19.848163,57.787528,2001,0,0,0,0,0,0,0,,,,245.2438049
-19.848372,57.787485,2001,0,0,0,0,0,0,0,,,,247.5911713
-19.847908,57.78741,2001,0,0,0,0,0,0,0,,,,234.851181
-19.847829,57.787402,2001,0,0,0,0,0,0,0,,,,232.7005615
-19.847739,57.787508,2001,0,0,0,0,0,0,0,,,,237.8715057
-19.847464,57.78751,2001,0,0,0,0,0,0,0,,,,231.3903961
-19.847566,57.787448,2001,0,0,0,0,0,0,0,,,,230.5879822
-19.848343,57.787038,2001,0,0,0,0,0,0,0,,,,219.963028
-19.848224,57.787056,2001,0,0,0,0,0,0,0,,,,221.7540894
-19.84901,57.786391,2001,0,0,0,0,0,0,0,,,,195.1951447
-19.848703,57.786391,2001,0,0,0,0,0,0,0,,,,192.0513763
-19.846884,57.786361,2001,0,0,0,0,0,0,0,,,,161.3244324
-19.848253,57.785909,2001,0,0,0,0,0,0,0,,,,160.0802917
-19.848206,57.78689,2001,0,0,0,0,0,0,0,,,,212.4578705
-19.84798,57.786755,2001,0,0,0,0,0,0,0,,,,202.0229645
-19.848101,57.786815,2001,0,0,0,0,0,0,0,,,,207.0103149
-19.846947,57.786685,2001,0,0,0,0,0,0,0,,,,179.4047394
-19.847014,57.786642,2001,0,0,0,0,0,0,0,,,,177.0765991
-19.848687,57.78564,2001,0,0,0,0,0,0,0,,,,153.817337
-19.847263,57.786046,2001,0,0,0,0,0,0,0,,,,154.625061
-19.847125,57.78604,2001,0,0,0,0,0,0,0,,,,152.5961914
-19.847078,57.786022,2001,0,0,0,0,0,0,0,,,,148.896347
-19.847003,57.786039,2001,0,0,0,0,0,0,0,,,,150.3370514
-19.846764,57.786102,2001,0,0,0,0,0,0,0,,,,146.9092102
-19.846742,57.786163,2001,0,0,0,0,0,0,0,,,,149.8407745
-19.846768,57.786222,2001,0,0,0,0,0,0,0,,,,152.9037781
-19.846578,57.786117,2001,0,0,0,0,0,0,0,,,,144.3867035
-19.846677,57.786156,2001,0,0,0,0,0,0,0,,,,145.8903351
-19.846922,57.786016,2001,0,0,0,0,0,0,0,,,,146.014267
-19.846998,57.785998,2001,0,0,0,0,0,0,0,,,,147.5672913
-19.848565,57.785114,2001,0,0,0,0,0,0,0,,,,127.8342056
-19.848315,57.785173,2001,0,0,0,0,0,0,0,,,,128.7919464
-19.847323,57.786135,2001,0,0,0,0,0,0,0,,,,159.1409149
-19.847241,57.786189,2001,0,0,0,0,0,0,0,,,,160.7361145
-19.847012,57.786258,2001,0,0,0,0,0,0,0,,,,158.9771576
